"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Champions of the Perfect","G","R","3056","2.07","1445","2.17","11424","85.7%","58.0%","1983","62.8%","2954","62.6%","4937","62.7%","6141","53.7%","9.0pp"
"Chomping Changeling","G","U","23355","4.69","3554","6.44","13055","59.2%","52.5%","2316","47.5%","3053","52.7%","5369","50.5%","7507","53.7%","-3.2pp"
"Crossroads Watcher","G","C","74766","5.94","11338","8.23","42060","59.2%","55.2%","7404","55.9%","9452","54.9%","16856","55.4%","24733","55.0%","0.3pp"
"Dawn's Light Archer","G","C","77407","6.21","11228","8.76","40100","56.5%","56.3%","6914","54.7%","9110","57.1%","16024","56.1%","23586","56.3%","-0.2pp"
"Dundoolin Weaver","G","U","18040","3.70","5072","4.42","28781","86.7%","56.2%","4929","53.4%","6925","59.4%","11854","56.9%","16541","55.4%","1.5pp"
"Formidable Speaker","G","R","3066","2.03","1541","2.15","11123","86.5%","55.8%","1984","58.0%","2740","58.0%","4724","58.0%","6229","53.8%","4.2pp"
"Gilt-Leaf's Embrace","G","C","83021","6.93","10392","10.06","23166","35.3%","55.1%","3798","53.6%","5446","56.3%","9244","55.2%","13930","55.0%","0.2pp"
"Great Forest Druid","G","C","59411","4.73","11115","6.23","49212","71.4%","52.7%","9107","56.2%","11709","52.7%","20816","54.2%","28375","51.6%","2.6pp"
"Luminollusk","G","U","27928","5.54","4192","7.68","11789","44.9%","51.4%","1886","50.2%","3236","54.7%","5122","53.1%","6628","49.9%","3.1pp"
"Lys Alana Dignitary","G","U","20117","4.24","4873","5.10","25709","80.6%","57.7%","4758","59.8%","5795","56.6%","10553","58.1%","14743","57.1%","0.9pp"
"Lys Alana Informant","G","C","66048","5.15","13343","6.74","69819","81.7%","56.9%","12639","58.6%","15819","56.7%","28458","57.6%","40601","56.3%","1.3pp"
"Midnight Tilling","G","C","81370","6.93","13093","9.35","36141","43.5%","57.2%","6512","56.6%","8593","57.6%","15105","57.1%","21040","57.2%","-0.0pp"
"Mistmeadow Council","G","C","67999","5.39","12929","7.00","58121","70.4%","56.4%","9710","55.4%","13738","58.8%","23448","57.4%","33632","55.3%","2.1pp"
"Moon-Vigil Adherents","G","U","16038","3.52","4634","3.99","27278","88.0%","57.8%","4597","57.1%","6814","61.2%","11411","59.6%","15349","56.0%","3.5pp"
"Morcant's Eyes","G","U","21031","4.58","5322","5.27","26724","74.3%","59.2%","4831","58.1%","6470","62.9%","11301","60.9%","14886","57.5%","3.4pp"
"Mutable Explorer","G","R","3508","2.32","1455","2.46","9193","81.8%","54.2%","1639","54.3%","2131","56.3%","3770","55.4%","5253","53.1%","2.3pp"
"Pitiless Fists","G","U","18909","3.89","5171","4.62","28995","86.8%","56.9%","4832","57.2%","7038","60.2%","11870","59.0%","17129","55.5%","3.4pp"
"Prismabasher","G","U","20003","4.12","4929","4.99","24179","76.2%","55.0%","3992","53.0%","6161","60.3%","10153","57.4%","13904","52.9%","4.5pp"
"Prismatic Undercurrents","G","U","29326","6.13","3826","8.80","6028","25.7%","48.3%","996","45.3%","1560","52.4%","2556","49.6%","3474","47.3%","2.3pp"
"Pummeler for Hire","G","U","19731","4.15","4843","5.02","23240","75.6%","54.3%","3860","54.2%","5925","57.7%","9785","56.3%","13466","52.9%","3.4pp"
"Safewright Cavalry","G","C","70648","5.66","12447","7.59","54493","69.3%","56.4%","9150","55.4%","13324","58.2%","22474","57.1%","31288","55.6%","1.5pp"
"Sapling Nursery","G","R","4348","2.75","1449","2.95","8524","75.7%","55.5%","1423","57.8%","2202","58.4%","3625","58.2%","4921","53.6%","4.6pp"
"Selfless Safewright","G","R","3568","2.27","1598","2.45","10834","86.2%","55.5%","1784","54.0%","2609","60.2%","4393","57.7%","6284","53.7%","4.0pp"
"Shimmerwilds Growth","G","U","24245","4.99","4204","6.50","14853","56.8%","51.1%","2790","51.1%","3670","51.6%","6460","51.4%","8400","50.8%","0.6pp"
"Spry and Mighty","G","R","5066","2.90","1828","3.19","10558","81.7%","53.5%","1756","52.2%","2626","57.0%","4382","55.1%","6190","52.4%","2.7pp"
"Surly Farrier","G","C","76361","6.18","11096","8.59","38603","55.3%","54.3%","7096","55.3%","8450","52.7%","15546","53.9%","22727","54.5%","-0.6pp"
"Tend the Sprigs","G","C","79319","6.63","9297","9.78","15231","26.5%","49.2%","2632","45.4%","3850","52.1%","6482","49.4%","8757","49.1%","0.2pp"
"Thoughtweft Charge","G","U","25713","5.07","4272","6.82","17369","64.1%","54.9%","2818","53.1%","4079","55.6%","6897","54.6%","10476","55.1%","-0.5pp"
"Trystan, Callous Cultivator","G","R","4079","2.51","1608","2.77","11357","85.1%","57.4%","2043","61.2%","2791","60.3%","4834","60.7%","6284","54.7%","5.9pp"
"Unforgiving Aim","G","C","82212","6.93","9392","10.33","13949","23.7%","52.3%","2338","50.1%","3323","53.1%","5661","51.9%","8300","52.5%","-0.6pp"
"Vinebred Brawler","G","U","23311","4.81","4467","6.20","21340","75.2%","56.5%","3629","56.2%","4960","56.7%","8589","56.5%","12438","56.3%","0.2pp"
"Virulent Emissary","G","U","16286","3.47","4691","4.10","27509","88.2%","57.6%","4869","60.3%","6355","58.9%","11224","59.5%","15925","56.2%","3.3pp"
"Wildvine Pummeler","G","C","75137","5.88","10545","8.42","31885","48.9%","51.1%","5252","49.8%","8434","54.6%","13686","52.8%","18292","49.8%","3.0pp"
