"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","1564","35.6%","53.1%","259","","377","","636","57.5%","919","50.2%","7.4pp"
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","10546","55.7%","55.2%","1951","54.0%","2533","55.2%","4484","54.6%","6046","55.6%","-1.0pp"
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","33509","81.4%","55.7%","5862","55.3%","8070","55.9%","13932","55.7%","19014","55.4%","0.3pp"
"Wanderbrine Preacher","W","C","70960","5.60","12505","7.47","41612","93.8%","56.3%","7537","57.1%","9885","56.2%","17422","56.6%","23620","55.9%","0.7pp"
"Wanderbrine Trapper","W","U","18496","3.91","5436","4.51","19837","99.1%","57.9%","3569","64.2%","4763","58.1%","8332","60.7%","11160","55.4%","5.3pp"
"Winnowing","W","R","6724","3.67","1418","4.53","2444","74.5%","54.0%","437","","606","56.1%","1043","54.4%","1402","53.7%","0.7pp"
"Aquitect's Defenses","U","C","82635","7.05","10565","10.25","7809","33.8%","53.9%","1305","52.5%","1912","56.0%","3217","54.6%","4596","53.5%","1.1pp"
"Blossombind","U","C","58894","4.64","12921","5.95","28599","93.6%","56.0%","4875","52.8%","6963","57.8%","11838","55.7%","16769","56.3%","-0.6pp"
"Champions of the Shoal","U","R","4012","2.66","1618","2.90","8431","99.8%","59.3%","1446","63.1%","2185","64.9%","3631","64.2%","4617","54.4%","9.8pp"
"Disruptor of Currents","U","R","3791","2.33","1839","2.51","6937","99.8%","58.4%","1155","60.9%","1687","63.8%","2842","62.6%","3913","54.2%","8.4pp"
"Flitterwing Nuisance","U","R","3602","2.35","1650","2.49","4777","98.6%","58.2%","880","67.7%","1171","59.4%","2051","63.0%","2747","54.6%","8.4pp"
"Glamer Gifter","U","U","18577","3.94","5104","4.73","12309","94.5%","56.9%","2197","58.2%","2992","59.4%","5189","58.9%","7121","55.5%","3.3pp"
"Glamermite","U","C","77133","6.33","10788","9.00","11039","46.5%","54.1%","1979","52.8%","2658","56.2%","4637","54.7%","6413","53.7%","1.0pp"
"Glen Elendra Guardian","U","R","3746","2.32","1680","2.50","4122","98.6%","55.5%","731","54.3%","1018","58.4%","1749","56.7%","2384","54.7%","2.0pp"
"Glen Elendra's Answer","U","M","4501","3.89","1031","4.71","1608","72.2%","55.1%","254","","389","","643","57.1%","966","53.8%","3.2pp"
"Gravelgill Scoundrel","U","C","77774","6.59","12039","8.96","36925","84.6%","56.6%","6787","56.9%","8666","56.4%","15453","56.6%","20908","56.4%","0.3pp"
"Harmonized Crescendo","U","R","6735","3.73","1601","4.53","4165","88.7%","55.4%","688","55.5%","1014","57.1%","1702","56.5%","2465","54.7%","1.8pp"
"Illusion Spinners","U","U","26991","5.72","3825","7.94","2478","36.0%","51.0%","384","","654","52.6%","1038","50.5%","1449","51.3%","-0.8pp"
"Kulrath Mystic","U","C","83350","7.21","11470","10.19","1981","12.3%","49.7%","382","","504","50.6%","886","48.2%","1093","50.9%","-2.7pp"
"Loch Mare","U","M","1374","1.69","861","1.77","2514","100.0%","58.8%","449","","636","64.3%","1085","63.5%","1436","55.4%","8.1pp"
"Lofty Dreams","U","U","24985","5.18","4872","6.71","10285","78.8%","55.5%","1727","53.5%","2549","58.2%","4276","56.3%","6015","54.8%","1.4pp"
"Mirrorform","U","M","3109","3.28","944","3.52","1975","82.9%","56.5%","316","","524","58.6%","840","58.7%","1135","54.8%","3.9pp"
"Noggle the Mind","U","U","21862","4.57","3893","5.95","7097","80.4%","54.4%","1217","50.2%","1762","57.1%","2979","54.3%","4124","54.5%","-0.2pp"
"Oko, Lorwyn Liege","U","M","1394","1.72","840","1.73","966","77.8%","52.8%","168","","246","","414","","559","51.5%",""
"Omni-Changeling","U","U","18560","3.93","5294","4.63","12451","94.1%","56.8%","2041","55.2%","3210","58.4%","5251","57.2%","6928","55.8%","1.4pp"
"Pestered Wellguard","U","U","18444","4.02","4467","4.86","16602","97.6%","56.0%","2838","54.6%","4140","57.1%","6978","56.1%","9336","55.3%","0.7pp"
"Rime Chill","U","U","28191","5.72","4700","7.63","2615","38.0%","52.0%","424","","664","52.0%","1088","49.9%","1529","53.4%","-3.5pp"
"Rimefire Torque","U","R","12523","5.62","1468","8.53","202","9.0%","","36","","43","","79","","123","",""
"Rimekin Recluse","U","U","14359","3.20","5926","3.58","12675","98.4%","57.8%","2232","60.8%","3246","61.6%","5478","61.2%","7190","55.1%","6.2pp"
"Run Away Together","U","C","82443","7.12","10788","10.23","6387","29.4%","53.4%","1033","48.9%","1504","52.5%","2537","51.0%","3851","54.9%","-3.9pp"
"Shinestriker","U","U","19822","4.25","5827","4.90","6007","71.7%","56.2%","986","54.1%","1494","62.0%","2480","58.9%","3517","54.3%","4.6pp"
"Silvergill Mentor","U","U","19987","4.32","5268","5.09","22955","99.1%","58.0%","4184","62.6%","5541","59.7%","9725","60.9%","12782","55.5%","5.4pp"
"Silvergill Peddler","U","C","79239","6.64","11825","9.19","31820","79.1%","55.9%","5624","55.4%","7501","56.7%","13125","56.1%","18284","55.4%","0.7pp"
"Spell Snare","U","U","31076","6.64","3716","9.78","1697","25.6%","51.7%","284","","413","","697","49.5%","1000","53.2%","-3.7pp"
"Stratosoarer","U","C","78015","6.22","11208","8.83","6656","36.8%","53.2%","1198","50.6%","1681","54.7%","2879","53.0%","3801","53.2%","-0.3pp"
"Summit Sentinel","U","C","77330","6.38","11940","8.85","5867","32.9%","53.4%","1088","50.7%","1490","52.9%","2578","52.0%","3278","54.3%","-2.4pp"
"Sunderflock","U","R","4006","2.62","1579","2.77","927","54.3%","53.0%","171","","242","","413","","515","53.2%",""
"Swat Away","U","U","21812","4.57","5244","5.66","10464","85.0%","55.2%","1788","51.1%","2618","56.2%","4406","54.1%","6059","56.0%","-1.9pp"
"Sygg, Wanderwine Wisdom","U","R","3384","2.25","1577","2.40","7375","99.9%","58.0%","1409","62.7%","1887","62.8%","3296","62.7%","3926","53.6%","9.1pp"
"Tanufel Rimespeaker","U","U","20146","4.37","5091","5.28","4706","71.6%","54.3%","771","55.4%","1248","55.7%","2019","55.6%","2698","53.3%","2.3pp"
"Temporal Cleansing","U","C","74933","5.94","14166","7.91","29247","83.0%","56.6%","4900","54.1%","7255","57.7%","12155","56.3%","17110","56.8%","-0.5pp"
"Thirst for Identity","U","U","26267","5.43","4123","7.44","4758","57.5%","53.7%","852","51.4%","1157","55.2%","2009","53.6%","2749","53.8%","-0.2pp"
"Unexpected Assistance","U","C","70903","5.61","13523","7.39","29662","87.2%","56.3%","4875","55.9%","7277","57.7%","12152","57.0%","17518","55.8%","1.3pp"
"Unwelcome Sprite","U","U","21189","4.45","5426","5.40","10315","84.2%","56.1%","1900","58.3%","2523","56.4%","4423","57.2%","5904","55.3%","1.9pp"
