"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Noggle the Mind","U","U","68324","4.44","13091","5.76","25166","83.7%","54.7%","4292","51.9%","6301","56.7%","10593","54.8%","14589","54.6%","0.2pp"
"Oko, Lorwyn Liege","U","M","4641","1.79","2672","1.82","3107","76.5%","52.4%","549","52.1%","783","55.7%","1332","54.2%","1791","50.9%","3.3pp"
"Omni-Changeling","U","U","53514","3.61","16863","4.20","40746","96.6%","56.4%","6753","54.0%","10366","58.1%","17119","56.5%","22596","55.7%","0.9pp"
"Pestered Wellguard","U","U","59640","4.05","13642","4.99","53118","97.7%","55.7%","9103","54.6%","13496","56.2%","22599","55.5%","29521","55.4%","0.1pp"
"Rime Chill","U","U","92505","5.90","14136","8.19","7155","32.5%","52.7%","1085","49.4%","1850","53.8%","2935","52.2%","4225","53.0%","-0.9pp"
"Rimefire Torque","U","R","41556","5.89","5016","9.05","500","7.1%","48.8%","92","","112","","204","","297","",""
"Rimekin Recluse","U","U","43287","3.08","18435","3.45","39454","98.7%","58.0%","6986","60.9%","9873","61.3%","16859","61.1%","22561","55.7%","5.5pp"
"Run Away Together","U","C","266586","7.23","33954","10.46","18589","26.7%","52.6%","3075","48.8%","4560","52.6%","7635","51.1%","10961","53.7%","-2.6pp"
"Shinestriker","U","U","57025","3.88","18570","4.42","21900","78.8%","56.2%","3539","54.3%","5581","60.1%","9120","57.8%","12752","54.9%","2.9pp"
"Silvergill Mentor","U","U","61530","4.20","16854","4.91","76690","99.3%","58.0%","14180","63.0%","18335","59.2%","32515","60.9%","42586","55.5%","5.4pp"
"Silvergill Peddler","U","C","250777","6.59","38710","9.10","111680","81.9%","55.7%","19844","55.3%","26546","55.9%","46390","55.6%","63615","55.6%","0.0pp"
"Spell Snare","U","U","101394","6.81","11712","10.13","4150","20.4%","50.7%","688","49.4%","987","48.5%","1675","48.9%","2475","51.8%","-2.9pp"
"Stratosoarer","U","C","244473","6.10","36565","8.65","21870","38.3%","52.6%","3763","49.8%","5613","55.2%","9376","53.0%","12550","52.2%","0.8pp"
"Summit Sentinel","U","C","249441","6.48","36308","9.10","14317","28.5%","52.2%","2596","50.4%","3577","51.9%","6173","51.3%","8119","52.8%","-1.5pp"
"Sunderflock","U","R","11513","2.45","4993","2.59","3067","54.8%","54.6%","524","51.9%","849","57.1%","1373","55.1%","1691","54.1%","1.1pp"
"Swat Away","U","U","76415","4.90","15404","6.34","27910","77.7%","54.7%","4700","52.1%","7023","55.8%","11723","54.3%","16203","55.0%","-0.7pp"
"Sygg, Wanderwine Wisdom","U","R","10592","2.23","5075","2.38","23473","100.0%","57.7%","4466","61.8%","5878","62.6%","10344","62.2%","12579","53.3%","8.9pp"
"Tanufel Rimespeaker","U","U","58728","4.02","16455","4.73","16359","75.3%","54.8%","2754","53.7%","4255","56.6%","7009","55.5%","9409","54.2%","1.3pp"
"Temporal Cleansing","U","C","242246","6.04","44860","8.14","94131","81.8%","56.3%","15620","54.4%","23651","57.6%","39271","56.3%","54905","56.3%","-0.0pp"
"Thirst for Identity","U","U","86802","5.61","12633","7.93","13342","52.3%","53.8%","2335","51.6%","3241","54.6%","5576","53.4%","7765","54.2%","-0.8pp"
"Unexpected Assistance","U","C","221799","5.47","43853","7.21","101719","89.3%","56.3%","16609","55.5%","25187","57.8%","41796","56.9%","59950","55.9%","1.0pp"
"Unwelcome Sprite","U","U","68927","4.51","16752","5.56","32821","82.8%","55.8%","6051","56.5%","8135","56.7%","14186","56.6%","18673","55.2%","1.4pp"
"Wanderwine Distracter","U","C","268212","7.52","32457","10.93","36070","38.7%","52.7%","5950","50.1%","8946","52.3%","14896","51.4%","20651","53.2%","-1.8pp"
"Wanderwine Farewell","U","U","75616","4.92","16361","6.16","59562","93.4%","57.0%","9759","55.2%","14811","59.7%","24570","57.9%","33479","55.8%","2.1pp"
"Wild Unraveling","U","C","264690","7.17","35281","10.26","23154","30.3%","53.5%","3886","52.3%","5741","55.0%","9627","53.9%","13536","53.2%","0.7pp"
"Auntie's Sentence","B","C","236456","5.90","31195","8.47","11","0.1%","","1","","2","","3","","8","",""
"Barbed Bloodletter","B","C","269958","7.37","31823","10.77","8","0.0%","","2","","1","","3","","5","",""
"Bile-Vial Boggart","B","C","249058","6.56","30278","9.45","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","4753","1.84","2337","1.90","37","3.0%","","8","","7","","15","","22","",""
"Blight Rot","B","C","147540","3.75","34744","4.69","300","4.6%","","60","","67","","127","","173","",""
"Blighted Blackthorn","B","C","258189","6.77","31841","9.86","20","0.2%","","2","","7","","9","","11","",""
"Bloodline Bidding","B","R","16843","3.11","5473","3.41","49","2.7%","","3","","14","","17","","32","",""
"Boggart Mischief","B","U","60278","4.26","12997","5.09","0","0.0%","","0","","0","","0","","0","",""
"Boggart Prankster","B","C","255837","6.95","32401","9.83","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","150988","3.81","36621","4.76","239","3.7%","","48","","56","","104","","136","",""
"Champion of the Weird","B","R","15162","2.95","4533","3.33","17","0.9%","","7","","4","","11","","6","",""
"Creakwood Safewright","B","U","53560","3.70","14996","4.35","1","0.0%","","0","","1","","1","","0","",""
"Darkness Descends","B","U","95026","6.33","10731","9.49","1","0.0%","","1","","0","","1","","0","",""
"Dawnhand Dissident","B","R","11999","2.34","5465","2.53","72","4.5%","","10","","23","","33","","39","",""
"Dawnhand Eulogist","B","C","216116","5.59","42248","7.10","0","0.0%","","0","","0","","0","","0","",""
"Dose of Dawnglow","B","U","90028","5.75","11857","8.29","14","0.3%","","4","","2","","6","","8","",""
"Dream Seizer","B","C","258075","6.79","31855","9.87","25","0.2%","","5","","8","","13","","12","",""
"Gloom Ripper","B","R","11514","2.37","5060","2.52","2","0.1%","","0","","0","","0","","2","",""
"Gnarlbark Elm","B","U","60842","4.04","12285","5.08","16","0.6%","","2","","5","","7","","9","",""
"Graveshifter","B","U","49914","3.37","14390","4.02","167","6.2%","","21","","48","","69","","93","",""
"Grub, Storied Matriarch","B","R","17123","3.18","4605","3.71","0","0.0%","","0","","0","","0","","0","",""
"Gutsplitter Gang","B","U","81076","5.40","11612","7.39","0","0.0%","","0","","0","","0","","0","",""
"Heirloom Auntie","B","C","252193","6.83","28879","9.92","1","0.0%","","0","","0","","0","","1","",""
"Iron-Shield Elf","B","U","60550","4.02","15978","4.81","1","0.0%","","0","","0","","0","","1","",""
"Moonglove Extractor","B","C","247713","6.43","31116","9.30","3","0.0%","","0","","1","","1","","2","",""
"Moonshadow","B","M","5445","2.02","2376","2.15","11","1.3%","","3","","3","","6","","5","",""
"Mornsong Aria","B","R","42930","5.97","5168","9.22","0","0.0%","","0","","0","","0","","0","",""
"Mudbutton Cursetosser","B","U","74854","4.94","13178","6.30","0","0.0%","","0","","0","","0","","0","",""
"Nameless Inversion","B","U","43974","3.06","14901","3.54","142","4.4%","","22","","37","","59","","78","",""
"Nightmare Sower","B","U","76977","5.16","10660","7.12","80","1.6%","","17","","16","","33","","48","",""
"Perfect Intimidation","B","U","100718","6.69","10757","10.20","1","0.0%","","0","","0","","0","","1","",""
"Requiting Hex","B","U","72647","4.68","11556","6.31","10","0.3%","","3","","0","","3","","7","",""
"Retched Wretch","B","U","83269","5.47","11917","7.54","0","0.0%","","0","","0","","0","","0","",""
"Scarblade Scout","B","C","205183","5.19","41124","6.64","2","0.0%","","0","","0","","0","","2","",""
"Scarblade's Malice","B","C","252105","6.51","31125","9.52","3","0.0%","","1","","1","","2","","1","",""
