"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Lys Alana Informant","G","C","231513","4.88","47949","6.37","0","0.0%","","0","","0","","0","","0","",""
"Midnight Tilling","G","C","293154","6.66","47867","9.01","0","0.0%","","0","","0","","0","","0","",""
"Mistmeadow Council","G","C","239881","5.13","46588","6.76","85","5.8%","","11","","19","","30","","55","",""
"Moon-Vigil Adherents","G","U","50597","3.14","17547","3.54","7","","","0","","2","","2","","5","",""
"Morcant's Eyes","G","U","63849","3.96","19365","4.43","0","","","0","","0","","0","","0","",""
"Mutable Explorer","G","R","15337","2.58","5389","2.84","17","","","1","","3","","4","","13","",""
"Pitiless Fists","G","U","62812","3.60","19276","4.22","50","","","8","","11","","19","","31","",""
"Prismabasher","G","U","67515","3.87","17640","4.65","84","13.4%","","13","","32","","45","","39","",""
"Prismatic Undercurrents","G","U","110964","6.31","13685","9.24","32","3.3%","","6","","9","","15","","17","",""
"Pummeler for Hire","G","U","75392","4.19","16504","5.29","141","18.5%","","20","","41","","61","","80","",""
"Safewright Cavalry","G","C","245838","5.28","45167","7.04","0","0.0%","","0","","0","","0","","0","",""
"Sapling Nursery","G","R","15769","2.67","5410","2.90","0","","","0","","0","","0","","0","",""
"Selfless Safewright","G","R","13245","2.27","5670","2.47","0","","","0","","0","","0","","0","",""
"Shimmerwilds Growth","G","U","94667","5.28","14557","7.17","30","5.3%","","8","","8","","16","","14","",""
"Spry and Mighty","G","R","19522","3.00","6076","3.39","129","","","19","","34","","53","","76","",""
"Surly Farrier","G","C","280966","6.12","40027","8.64","22","1.5%","","3","","8","","11","","11","",""
"Tend the Sprigs","G","C","299242","6.83","33281","10.17","23","1.4%","","4","","5","","9","","14","",""
"Thoughtweft Charge","G","U","96014","5.13","14822","7.11","0","","","0","","0","","0","","0","",""
"Trystan, Callous Cultivator","G","R","14962","2.55","5960","2.81","5","","","2","","1","","3","","2","",""
"Unforgiving Aim","G","C","305675","7.02","33911","10.51","2","0.1%","","0","","2","","2","","0","",""
"Vinebred Brawler","G","U","81595","4.58","16047","5.89","0","","","0","","0","","0","","0","",""
