"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Doran, Besieged by Time","WBG","R","18213","3.28","4960","3.71","22479","62.3%","52.3%","3779","57.4%","6022","58.8%","9801","58.2%","12549","47.3%","11.0pp"
"Dream Harvest","UB","R","27776","4.09","4612","5.46","15175","52.5%","49.7%","2439","45.5%","4079","53.0%","6518","50.2%","8672","49.3%","0.9pp"
"Eclipsed Boggart","BR","U","68439","4.60","14686","5.60","65973","68.4%","56.0%","11995","58.4%","15921","59.6%","27916","59.1%","36191","52.9%","6.2pp"
"Eclipsed Elf","BG","U","47338","3.35","16111","3.78","97336","83.7%","58.8%","17900","63.4%","23766","62.8%","41666","63.0%","53013","55.0%","8.0pp"
"Eclipsed Flamekin","UR","U","58436","3.97","18041","4.58","100623","82.4%","56.5%","18259","59.4%","27440","60.3%","45699","59.9%","52754","53.1%","6.8pp"
"Eclipsed Kithkin","WG","U","50980","3.52","15453","4.08","86234","79.2%","58.1%","16530","64.3%","19596","60.6%","36126","62.3%","48444","54.7%","7.6pp"
"Eclipsed Merrow","WU","U","56414","3.90","17190","4.44","94102","78.4%","58.3%","17724","61.7%","23005","61.6%","40729","61.7%","51005","55.1%","6.6pp"
"Emptiness","WB","M","4312","1.64","2516","1.68","18587","86.9%","53.7%","3163","53.8%","4752","59.3%","7915","57.1%","10589","51.1%","5.9pp"
"Feisty Spikeling","WR","C","234687","5.49","34173","7.91","131690","61.6%","51.8%","23848","50.4%","30941","50.6%","54789","50.5%","75312","52.6%","-2.0pp"
"Figure of Fable","WG","R","7100","1.57","4980","1.60","43641","94.2%","57.8%","8245","65.3%","10876","62.2%","19121","63.5%","24052","53.0%","10.5pp"
"Flaring Cinder","UR","C","239925","6.16","40520","8.35","154175","60.1%","54.2%","27892","53.5%","41411","56.3%","69303","55.1%","82579","53.1%","2.1pp"
"Gangly Stompling","RG","C","233477","5.40","37463","7.76","156842","66.0%","53.6%","27737","52.8%","37343","54.4%","65080","53.7%","89603","53.3%","0.4pp"
"Glister Bairn","UG","U","79329","5.02","12503","7.02","40802","52.6%","50.5%","6806","48.6%","10696","54.3%","17502","52.1%","23343","49.4%","2.7pp"
"Grub's Command","BR","R","16635","3.14","5339","3.54","31026","70.2%","56.8%","5233","61.7%","7814","63.9%","13047","63.0%","17054","50.9%","12.1pp"
