"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Liminal Hold","W","C","47890","3.83","12204","4.75","22727","96.3%","56.1%","3793","53.7%","5417","58.3%","9210","56.4%","13546","55.9%","0.5pp"
"Meanders Guide","W","U","20764","4.49","4171","5.67","895","30.4%","53.7%","153","","208","","361","","537","53.6%",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","6425","81.9%","55.8%","1073","55.1%","1508","56.4%","2581","55.9%","3851","55.7%","0.2pp"
"Morningtide's Light","W","M","3352","3.30","766","3.81","1139","78.8%","56.5%","187","","257","","444","","697","55.5%",""
"Personify","W","U","23244","4.75","4213","6.23","6200","77.2%","55.1%","1020","52.3%","1434","58.4%","2454","55.9%","3749","54.6%","1.3pp"
"Protective Response","W","U","15318","3.38","4511","3.91","9256","98.1%","57.3%","1498","58.1%","2171","60.5%","3669","59.5%","5589","55.8%","3.7pp"
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","10776","98.1%","57.6%","1829","55.3%","2534","62.6%","4363","59.5%","6413","56.2%","3.3pp"
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","17803","67.7%","54.9%","3097","53.1%","3763","55.6%","6860","54.5%","10720","55.0%","-0.4pp"
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","2713","96.5%","54.4%","479","","676","56.5%","1155","54.2%","1550","54.6%","-0.4pp"
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","7566","38.4%","54.5%","1246","50.7%","1693","55.4%","2939","53.4%","4629","55.2%","-1.8pp"
"Shore Lurker","W","C","77512","6.42","10036","9.14","2810","22.2%","53.7%","427","","706","56.4%","1133","53.0%","1684","54.1%","-1.1pp"
"Slumbering Walker","W","R","3082","2.02","1535","2.14","3659","99.0%","59.1%","617","61.6%","875","61.0%","1492","61.3%","2157","57.3%","4.0pp"
